K\N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11,,,,,,,,,,,1,1,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,26,26,26,26,26,28,28,28,28,28,28,30,30,30,30,30,32,32,32,32,32,34,34,34,34,34
12,,,,,,,,,,,,1,1,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,26,26,26,26,26,26,28,28,28,28,28,30,30,30,30,30,32,32,32,32,32,34,34,34,34
13,,,,,,,,,,,,,1,1,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,24,26,26,26,26,26,28,28,28,28,28,30,30,30,30,30,32,32,32,32,32,32,34,34
14,,,,,,,,,,,,,,1,1,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,26,26,26,26,26,28,28,28,28,28,28,30,30,30,30,30,32,32,32,32,32,34
15,,,,,,,,,,,,,,,1,1,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,26,26,26,26,26,26,28,28,28,28,28,30,30,30,30,30,32,32,32,32,32
16,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,24,26,26,26,26,26,28,28,28,28,28,30,30,30,30,30,32,32,32,32
17,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,22,24,24,24,24,24,26,26,26,26,26,28,28,28,28,28,30,30,30,30,30,30,32,32
18,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,26,26,26,26,26,26,28,28,28,28,28,30,30,30,30,30,32
19,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,24,26,26,26,26,26,28,28,28,28,28,30,30,30,30,30
20,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,24,26,26,26,26,26,28,28,28,28,28,30,30,30,30
21,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,22,24,24,24,24,24,26,26,26,26,26,28,28,28,28,28,28,30,30
22,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,26,26,26,26,26,26,28,28,28,28,28,30
23,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,24,26,26,26,26,26,28,28,28,28,28
24,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,24,26,26,26,26,26,28,28,28,28
25,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,22,24,24,24,24,24,26,26,26,26,26,28,28,28
26,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,26,26,26,26,26,26,28
27,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,24,26,26,26,26,26
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,24,26,26,26,26
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,22,24,24,24,24,24,26,26,26
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,22,24,24,24,24,24,26,26
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,26
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,24,24,24,24
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,22,24,24
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,18,20,20,20,20,20,22,22,22,22,22,22,24
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,20,22,22,22,22,22
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,20,22,22,22,22
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,20,20,20,20,20,20,22,22,22
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,18,20,20,20,20,20,22,22
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,18,20,20,20,20,20,22
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,18,20,20,20,20,20
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,20,20,20,20
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,20,20,20
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,20,20
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,18
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,18,18,18,18
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,18,18,18
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,16,18
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16,16
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16,16
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,16
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,14,16,16,16
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,16,16
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,10,12
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,10
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,8,10,10,10,10
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,8,10,10,10
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,8,10,10
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,8,10
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,8
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,6
